Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //dm/create/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //dm/create/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "GET //dm/list/v1?token=-1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //dm/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //dm/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:43:20] "POST //dm/create/v1 HTTP/1.1" 200 -
